country,year,value
,2008,43
,2009,45
,2010,45
,2011,86
,2012,21
,2013,12
,2014,42
Iraq,1957,0
,1960,3
,1980,28
,1988,168
,1989,20
Ireland,1978,2
,1979,9
,1980,9
,1981,2
,2005,15
,2006,30
,2007,29
,2008,26
,2009,26
,2010,25
,2011,1
,2012,25
,2013,31
,2014,8
Israel,1954,8
,1955,30
,1957,4
,1959,23
,1964,5
,1965,10
,1966,14
,1967,13
,1968,23
,1969,24
,1970,13
,1971,21
,1972,31
,1973,17
,1974,50
,1975,120
,1976,62
,1977,202
,1978,212
,1979,190
,1980,274
,1981,217
,1982,254
,1983,414
,1984,281
,1985,209
,1986,354
,1987,137
,1988,75
,1989,212
,1990,85
,1991,152
,1992,324
,1993,383
,1994,296
,1995,166
,1996,285
,1997,246
,1998,229
,1999,190
,2000,387
,2001,439
,2002,572
,2003,442
,2004,677
,2005,509
,2006,399
,2007,529
,2008,347
,2009,734
,2010,647
,2011,587
,2012,530
,2013,756
,2014,824
Italy,1950,138
,1951,117
,1952,24
,1954,7
,1955,143
,1956,257
,1957,275
,1958,234
,1959,8
,1960,104
,1961,240
,1962,258
,1963,239
,1964,369
,1965,288
,1966,234
,1967,128
,1968,162
,1969,334
,1970,275
,1971,365
,1972,292
,1973,342
,1974,417
,1975,747
,1976,660
,1977,638
,1978,678
,1979,1306
,1980,1149
,1981,1690
,1982,1690
,1983,1199
,1984,1274
,1985,932
,1986,227
,1987,604
,1988,384
,1989,335
,1990,205
,1991,337
,1992,247
,1993,336
,1994,204
,1995,297
,1996,326
,1997,454
,1998,426
,1999,504
,2000,204
,2001,243
,2002,468
,2003,355
,2004,251
,2005,825
,2006,527
,2007,713
,2008,393
,2009,493
,2010,524
,2011,939
,2012,828
,2013,953
,2014,786
Japan,1954,2
,1955,110
,1956,38
,1957,112
,1958,3
,1959,41
,1960,1
,1961,61
,1962,100
,1963,7
,1964,13
,1966,5
,1969,34
,1971,15
,1972,4
,1973,17
,1974,41
,1978,9
,1979,11
,1980,167
,1983,17
,1984,17
,1985,55
,1986,99
,1989,15
,1990,30
,1991,68
,1992,126
,1993,153
,1994,162
,1995,158
,1996,188
,1997,32
,2007,40
Jordan,1959,2
,1971,36
,1973,22
,1974,9
,1975,50
,1977,18
,1983,76
,1985,2
,1986,16
,1988,7
,1989,16
,1994,64
,1997,6
,2004,42
,2005,20
,2007,13
,2008,12
,2009,60
,2010,111
,2012,20
,2013,1
,2014,114
Kazakhstan,1995,13
,1996,12
,1997,3
,1998,6
,1999,183
,2000,19
,2001,12
,2004,5
,2006,6
Kenya,1981,8
,1991,2
,1993,2
Kuwait,1967,3
,1980,24
,1984,4
,1998,99
Kyrgyzstan,1995,57
,2003,92
,2006,18
,2007,18
,2008,14
Latvia,1994,9
Lebanon,1967,1
,1991,1
,2002,45
Libya,1972,0
,1973,0
,1975,26
,1976,4
,1978,8
,1979,398
,1980,95
,1981,107
,1982,168
,1983,14
,1984,54
,1985,32
,1986,10
,1987,14
,1988,62
,1989,7
,1990,36
,1994,3
,1997,3
,1998,10
,2002,21
,2003,16
,2004,113
,2005,113
,2006,18
,2007,10
,2008,18
,2009,32
,2010,28
Lithuania,2002,3
Luxembourg,2007,0
Malawi,2000,1
